symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
A,"Agilent Technologies, Inc. Common Stock",N,N,,95051,Healthcare,16300.0,Santa Clara,CA,United States,Diagnostics & Research,79.98419,0.0078021595,2807514,86.13,86.3,2807514,0.72,1847602,26543439872.0,2616254,84.37,87.2,90.64,24.140057,0.92,0.0084,1400.0,86.48,4.987,3.57,,15.636,5258241.0,2.55,308518035.0,26110310400.0,86.3,0.18
AA,Alcoa Corporation Common Stock ,N,N,,15212,Basic Materials,13800.0,Pittsburgh,PA,United States,Aluminum,13.778677,0.04109589,9643371,8.76,9.12,9643371,,11237725,1814569600.0,9784741,8.925,9.9,24.63,-40.666668,,,1800.0,9.79,0.417,-0.24,,22.994,11633009.0,1.1,185121237.0,4210364928.0,9.12,0.09
AADR,AdvisorShares Dorsey Wright ADR ETF,P,Y,,,,,,,,,49.253677,,3914,48.275,47.59,3914,,3019,,18675,47.3664,0.0,57.51,,,,800.0,48.221,,,,,,,,,47.59,0.008
AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,76155,Industrials,131500.0,Fort Worth,TX,United States,Airlines,20.70919,0.035906643,66709542,11.14,12.43,66709542,0.4,99314752,5066270208.0,69955775,11.07,11.94,34.99,-299.5,1.14,0.0359,4000.0,12.55,0.796,-0.04,,-6.233,119303588.0,1.49,416754073.0,34785148928.0,12.43,0.1
AAME,Atlantic American Corporation - Common Stock,Q,N,N,30319,Financial Services,151.0,Atlanta,GA,United States,Insurance—Life,2.0177207,0.01025641,1185,1.95,1.95,1185,,453,38322000.0,2308,1.83,0.0,2.95,,0.65,,800.0,1.95,0.371,,,4.964,1620.0,0.46,4879047.0,67789672.0,1.95,0.02
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N,N,,27604,Consumer Cyclical,39000.0,Raleigh,NC,United States,Specialty Retail,133.3967,0.0017701725,1514942,135.58,137.5,1514942,1.0,798726,9792331776.0,1208891,136.31,141.63,171.43,16.593678,0.18,0.0070999996,1300.0,141.78,1.175,8.54,,51.606,1691705.0,1.57,68575245.0,11410747392.0,137.5,0.25
AAPL,Apple Inc. - Common Stock,Q,N,N,95014,Technology,137000.0,Cupertino,CA,United States,Consumer Electronics,286.9998,0.00972437,27552328,316.73,316.14,27552328,3.28,26969168,1378793553920.0,50365603,313.09,316.98,327.85,21.596062,1.59,0.010299999,800.0,318.71,5.108,14.73,,18.137,33592445.0,0.89,4329827292.0,1368917278720.0,316.14,0.82
AAT,"American Assets Trust, Inc. Common Stock",N,N,,92130,Real Estate,205.0,San Diego,CA,United States,REIT—Diversified,37.83544,0.04296296,349871,27.0,28.01,349871,0.8,330037,1687307264.0,454533,27.21,31.42,49.26,20.807407,2.59,0.0296,800.0,28.52,7.849,1.35,,21.713,706006.0,1.7,53088019.0,2936203264.0,28.01,0.3
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,Y,N,,,,,,,,67.59066,,957814,63.9,63.96,957814,,870264,,1704800,63.18,64.21,76.44,,,,1800.0,64.01,,,,,,,,,63.96,0.933
ABB,ABB Ltd Common Stock,N,N,,8050,Industrials,144000.0,Zurich,,Switzerland,Electrical Equipment & Parts,20.96228,0.04253347,2318342,19.42,19.66,2318342,0.83,1714743,41781137408.0,2738256,19.345,19.75,25.3,20.589474,3.04,0.0422,2200.0,19.69,1.71,0.95,,5.423,2148715.0,1.04,1744091278.0,46751436800.0,19.66,0.774
ABBV,AbbVie Inc. Common Stock,N,N,,60064,Healthcare,30000.0,North Chicago,IL,United States,Drug Manufacturers—General,85.55353,0.049608644,11022200,90.71,90.54,11022200,4.72,9896993,158576246784.0,13578856,88.56,91.99,97.86,8.727449,3.89,0.0525,800.0,91.0,4.402,10.31,,-5.021,24803626.0,2.0,1474586171.0,149935276032.0,90.54,1.18
ABEO,Abeona Therapeutics Inc. - Common Stock,Q,N,D,10019,Healthcare,88.0,New York,NY,United States,Biotechnology,2.7866912,,817500,3.05,3.08,817500,,1141143,276203072.0,1347946,3.02,3.5,6.21,-3.084112,,,1300.0,3.33,,-1.07,,1.583,4080724.0,3.79,56544646.0,116820424.0,3.08,148.25
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,N,,04530-001,Consumer Defensive,50000.0,Sao Paulo,SP,Brazil,Beverages—Brewers,3.4084558,0.060425535,35990728,2.35,2.5,35990728,0.12,49901167,39764787200.0,35349982,2.42,2.64,5.45,17.266665,2.32,0.0514,38500.0,2.59,,0.15,,0.987,60265627.0,3.15,4393778927.0,33826134016.0,2.5,0.120835
ABG,Asbury Automotive Group Inc Common Stock,N,N,,30097,Consumer Cyclical,8500.0,Duluth,GA,United States,Auto & Truck Dealerships,86.148674,,218700,77.39,79.53,218700,,297854,1525437440.0,314517,77.06,79.52,123.45,10.515958,,,800.0,81.865,0.437,7.52,,34.252,2465756.0,7.82,16977927.0,3121527552.0,79.53,0.225
ABM,ABM Industries Incorporated Common Stock,N,N,,10006,Industrials,140000.0,New York,NY,United States,Specialty Business Services,34.402206,0.021223655,319742,34.16,34.33,319742,0.74,473730,2232131840.0,578687,32.73,36.83,42.67,17.179487,1.93,0.0217,800.0,34.44,0.496,1.95,,23.365,2805854.0,4.63,60704669.0,3227732224.0,34.33,0.185
ABR,Arbor Realty Trust Common Stock,N,N,,11553,Real Estate,532.0,Uniondale,NY,United States,REIT—Mortgage,11.24978,0.14217444,2182914,8.37,8.69,2182914,1.2,2242564,938236032.0,3095254,8.1458,8.7,15.77,6.9186993,8.71,0.1434,1100.0,8.95,20.189,1.23,,8.92,4021472.0,1.35,99797358.0,6361600512.0,8.69,0.3
ABT,Abbott Laboratories Common Stock,N,N,,60064,Healthcare,107000.0,Abbott Park,IL,United States,Medical Devices,85.91963,0.015198926,6546857,89.48,89.28,6546857,1.44,4936202,160540835840.0,11151467,88.17,91.2,100.0,24.730246,1.95,0.0159,1200.0,90.78,5.626,3.67,,17.083,18119413.0,1.84,1755101398.0,180553809920.0,89.28,0.36
ABTX,"Allegiance Bancshares, Inc. - Common Stock",Q,N,N,77040,Financial Services,587.0,Houston,TX,United States,Banks—Regional,31.474192,0.0037750094,91042,26.49,27.38,91042,0.4,89087,569855808.0,120025,26.84,28.0,38.95,16.238373,,0.0150999995,1800.0,28.16,3.543,1.72,,34.713,932828.0,10.58,18529769.0,626701568.0,27.38,0.1
AC,"Associated Capital Group, Inc. Common Stock",N,N,,10580,Financial Services,39.0,Rye,NY,United States,Capital Markets,38.13522,0.0048579066,20414,41.17,42.11,20414,0.2,19561,973408512.0,19870,41.99,48.7,65.46,16.787645,,0.005,900.0,43.66,15.468,2.59,,36.611,196192.0,10.61,3337299.0,479214912.0,42.11,0.1
ACA,"Arcosa, Inc. Common Stock ",N,N,,75201,Industrials,6275.0,Dallas,TX,United States,Infrastructure Operations,40.36735,0.005238345,356471,38.18,39.32,356471,0.2,367024,1916379264.0,402188,38.28,39.8,47.85,15.229886,,0.0056,1800.0,39.86,0.968,2.61,,37.676,898813.0,2.34,47563831.0,1756254848.0,39.32,0.05
ACC,American Campus Communities Inc Common Stock,N,N,,78738,Real Estate,3096.0,Austin,TX,United States,REIT—Residential,40.085663,0.055342946,1490942,33.97,35.0,1490942,1.88,1829624,4762474496.0,1945100,34.21,34.47,50.94,52.439392,3.97,0.0553,800.0,35.28,8.605,0.66,,24.067,3281355.0,1.91,136873922.0,8177530880.0,35.0,0.47
ACCO,Acco Brands Corporation Common Stock,N,N,,60047,Industrials,7000.0,Lake Zurich,IL,United States,Business Equipment & Supplies,7.7124267,0.041050903,646014,6.09,6.3,646014,0.26,1147522,626283712.0,836167,6.3,6.93,11.38,4.839416,,0.042600002,1000.0,6.7,0.789,1.37,,7.601,4760290.0,6.02,91186200.0,1534968448.0,6.3,0.065
ACES,ALPS Clean Energy ETF,Z,Y,,,,,,,,,33.807,,30871,35.85,36.98,30871,,25120,,47196,35.0525,36.33,43.737,,,,1100.0,36.98,,,,,,,,,36.98,0.153
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,HM 08,Financial Services,4300.0,Pembroke,,Bermuda,Insurance—Diversified,24.96908,,16400,24.91,24.97,16400,1.36,15845,14629703680.0,44093,24.8451,25.09,26.9,,,0.0546,1400.0,25.1699,1.743,,,26.17,,,358567789.0,11746733056.0,24.97,0.341
ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,HM 08,Financial Services,4300.0,Pembroke,,Bermuda,Insurance—Diversified,24.442347,,38614,23.83,23.99,38614,1.31,39985,14564569088.0,56643,23.85,0.0,26.13,,,0.0554,1000.0,24.0,1.698,,,26.17,,,358567789.0,11443280896.0,23.99,0.328
ACH,Aluminum Corporation of China Limited American Depositary Shares,N,N,,100082,Basic Materials,65507.0,Beijing,,China,Aluminum,6.695147,,132085,4.94,4.73,132085,,318642,5827536896.0,80330,4.7,0.0,9.2,-478.00003,,,900.0,4.78,,-0.01,,13.125,56796.0,1.43,447539690.0,3513479680.0,4.73,0.044
ACIO,ETF Series Solutions Aptus Collared Income Opportunity ETF,Z,Y,,,,,,,,,24.611832,,10928,24.3016,25.54,10928,,4214,,28953,24.1683,28.19,27.06,,,,3200.0,25.54,,,,,,,,,25.54,0.101
ACNB,ACNB Corporation - Common Stock,Q,N,N,17325,Financial Services,374.0,Gettysburg,PA,United States,Banks—Regional,30.960735,0.041237112,22557,24.25,24.91,22557,1.0,22455,227671840.0,29409,24.31,0.0,39.57,,2.94,0.041199997,900.0,26.45,2.361,,,28.489,38990.0,1.42,8349206.0,188070384.0,24.91,0.25
ACP,Aberdeen Income Credit Strategies Fund Common Shares,N,N,,AB10 1YG,Financial Services,,Aberdeen,,United Kingdom,Asset Management,9.852868,,128300,7.82,7.83,128300,1.44,136614,138585184.0,189224,7.81,7.94,12.573099,,11.54,0.1868,1400.0,7.96,,,,,9174.0,0.06,,,7.83,0.12
